; CSV, generated by libsigrok4DSL 0.2.0 on Tue Oct 18 11:27:46 2022
; Channels (4/16)
; Sample rate: 20 MHz
; Sample count: 200.512 M Samples
Time(s), CLK, MOSI, CS, DC
0,0,0,1,1
0.1625631,0,1,1,1
0.16256315,1,1,1,1
0.1625634,1,1,1,0
0.16256925,1,1,0,0
0.3217643,1,1,1,1
0.3217644,1,1,1,0
0.3218782,1,1,0,0
0.32189555,1,1,1,1
0.3218956,1,1,1,0
0.3219042,1,1,0,0
0.3219389,1,1,1,0
0.32193895,1,1,1,1
0.321939,1,1,1,0
0.3219476,1,1,0,0
0.32195625,1,1,1,0
0.3219563,1,1,1,1
0.32195635,1,1,1,0
0.32196495,1,1,0,0
0.32197365,1,1,1,1
0.3219737,1,1,1,0
0.32200835,1,1,0,0
0.322017,1,1,1,1
0.3220171,1,1,1,0
0.32203435,1,1,0,0
0.32204305,1,1,1,1
0.32204315,1,1,1,0
0.32205175,1,1,0,0
0.3220604,1,1,1,1
0.3220605,1,1,1,0
0.3220951,1,1,0,0
0.3221038,1,1,1,1
0.3221039,1,1,1,0
0.32212115,1,1,0,0
0.3221298,1,1,1,1
0.3221299,1,1,1,0
0.3221385,1,1,0,0
0.32216455,1,1,1,1
0.32216465,1,1,1,0
0.3221732,1,1,0,0
0.3221819,1,1,1,1
0.322182,1,1,1,0
0.3222079,1,1,0,0
0.3222166,1,1,1,1
0.3222167,1,1,1,0
0.3222253,1,1,0,0
0.32223395,1,1,1,1
0.32223405,1,1,1,0
0.32224265,1,1,0,0
0.32226,1,1,1,1
0.3222601,1,1,1,0
0.32226865,1,1,0,0
0.32227735,1,1,1,1
0.32227745,1,1,1,0
0.3222947,1,1,0,0
0.32230335,1,1,1,1
0.32230345,1,1,1,0
0.32231205,1,1,0,0
0.3223294,1,1,1,1
0.3223295,1,1,1,0
0.32235545,1,1,0,0
0.3223641,1,1,1,0
0.32236415,1,1,1,1
0.3223642,1,1,1,0
0.32238145,1,1,1,1
0.3223815,1,1,0,0
0.32239015,1,1,1,1
0.32239025,1,1,1,0
0.32239885,1,1,0,0
0.32240755,1,1,1,1
0.3224076,1,1,1,0
0.32243355,1,1,0,0
0.3224509,1,1,1,1
0.322451,1,1,1,0
0.32246825,1,1,0,0
0.32247695,1,1,1,1
0.322477,1,1,1,0
0.32248565,1,1,0,0
0.3225377,1,1,1,1
0.32253775,1,1,1,0
